,Black Total Pop,Population Total,White Population Total,Zip,Percentage Black Residents,Percentage POC Residents,Percentage White Residents,% of Home Purchases by Investors,% of Low-Priced Homes Purchased by Investors,Time Period
80,9036,31733,18020,02131,0.2847508902404437,0.4321368921942458,0.5678631078057542,0.041337275,0.072652825,2005-2009
81,2059,28791,24179,02132,0.07151540411934285,0.16018894793511862,0.8398110520648814,0.03663732,0.08517338,2005-2009
82,1861,36486,27219,02135,0.0510058652633887,0.25398783094885713,0.7460121690511429,0.04482094,0.04591114,2005-2009
83,14435,30207,11423,02136,0.4778693680272784,0.6218426192604363,0.3781573807395637,0.07872184,0.11627126000000002,2005-2009
84,2737,36937,26977,02138,0.07409914178195305,0.2696483201126242,0.7303516798873758,0.08130925,0.0752613,2005-2009
85,5246,35783,23589,02139,0.14660593019031384,0.3407763463097001,0.6592236536902999,0.051228525,0.071733975,2005-2009
86,3744,17894,11334,02140,0.20923214485302336,0.36660333072538276,0.6333966692746172,0.038871425,0.0525012,2005-2009
87,804,25915,20420,02143,0.03102450318348447,0.21203935944433727,0.7879606405556627,0.04890174,0.05784338,2005-2009
88,4300,24807,16758,02145,0.17333817067763133,0.32446486878703595,0.675535131212964,0.07576313333333334,0.0937957,2005-2009
89,9067,60293,33741,02148,0.15038229976945913,0.440382797339658,0.559617202660342,0.05323057999999999,0.06048629999999999,2005-2009
90,9241,42717,28180,02149,0.21633073483624787,0.3403094786618911,0.6596905213381089,0.061080225,0.0770631,2005-2009
91,13672,37074,18274,02150,0.3687759615903328,0.5070939202675729,0.49290607973242706,0.10100761999999999,0.09929446,2005-2009
92,4725,53268,40343,02151,0.08870241045280469,0.24264098520687838,0.7573590147931216,0.060891299999999995,0.0725846,2005-2009
93,374,17992,16973,02152,0.020787016451756336,0.05663628279235211,0.9433637172076479,0.045131920000000006,0.04816718,2005-2009
94,6114,59193,47000,02155,0.10328924028179008,0.20598719443177405,0.794012805568226,0.03601054,0.04350558,2005-2009
95,4149,55408,37900,02169,0.07488088362691309,0.3159832515160266,0.6840167484839734,0.05252898,0.0539747,2005-2009
96,594,19318,12305,02170,0.0307485246919971,0.3630292990992856,0.6369707009007144,0.03787135,0.038651825,2005-2009
97,1283,18194,10312,02171,0.07051775310541937,0.43321974277234254,0.5667802572276575,0.0315874,0.02599125,2005-2009
98,814,27509,25306,02176,0.029590315896615652,0.08008288196590208,0.9199171180340979,0.03060252,0.04129768,2005-2009
99,413,21611,20162,02180,0.0191106381009671,0.06704918791356251,0.9329508120864375,0.040573239999999997,0.051776659999999995,2005-2009
100,2068,36543,30921,02184,0.056590865555646776,0.15384615384615385,0.8461538461538461,0.045570225,0.07519139999999999,2005-2009
101,4101,27204,21157,02186,0.15074988972209968,0.2222834877223938,0.7777165122776062,0.038952575,0.173181425,2005-2009
102,1046,14642,12416,02188,0.07143832809725448,0.15202841141920498,0.847971588580795,0.0709885,0.0953846,2005-2009
